Game,Year,Medal,Result,Country,Athlete
100M Men,2016,gold,9.81,JAM,Usain BOLT
100M Men,2016,silver,9.89,USA,Justin GATLIN
100M Men,2016,bronze,9.91,CAN,Andre DE GRASSE
100M Men,2008,gold,9.69,JAM,Usain BOLT
100M Men,2008,silver,9.89,TTO,Richard THOMPSON
100M Men,2008,bronze,9.91,USA,Walter DIX
100M Men,2000,gold,9.87,USA,Maurice GREENE
100M Men,2000,silver,9.99,TTO,Ato BOLDON
100M Men,2000,bronze,10.04,BAR,Obadele THOMPSON
100M Men,1992,gold,9.96,GBR,Linford CHRISTIE
100M Men,1992,silver,10.02,NAM,Frank FREDERICKS
100M Men,1992,bronze,10.04,USA,Dennis MITCHELL
100M Men,1984,gold,9.99,USA,Carl LEWIS
100M Men,1984,silver,10.19,USA,Sam GRADDY
100M Men,1984,bronze,10.22,CAN,Ben JOHNSON
100M Men,1976,gold,10.06,TTO,Hasely CRAWFORD
100M Men,1976,silver,10.08,JAM,Donald QUARRIE
100M Men,1976,bronze,10.14,URS,Valery BORZOV
100M Men,1968,gold,9.9,USA,Jim HINES
100M Men,1968,silver,10,JAM,Lennox MILLER
100M Men,1968,bronze,10,USA,Charlie GREENE
100M Men,1960,gold,10.2,EUA,Armin HARY
100M Men,1960,silver,10.2,USA,Dave SIME
100M Men,1960,bronze,10.3,GBR,Peter RADFORD
100M Men,1952,gold,10.4,USA,Lindy REMIGINO
100M Men,1952,silver,10.4,JAM,Herbert MCKENLEY
100M Men,1952,bronze,10.4,GBR,Emmanuel McDONALD BAILEY
100M Men,1936,gold,10.3,USA,Jesse OWENS
100M Men,1936,silver,10.4,USA,Ralph METCALFE
100M Men,1936,bronze,10.5,NED,Martinus OSENDARP
100M Men,1924,gold,10.6,GBR,Harold ABRAHAMS
100M Men,1924,silver,10.7,USA,Jackson SCHOLZ
100M Men,1924,bronze,10.8,NZL,Arthur PORRITT
100M Men,1912,gold,10.8,USA,Ralph CRAIG
100M Men,1912,silver,10.9,USA,Alvah MEYER
100M Men,1912,bronze,10.9,USA,Donald LIPPINCOTT
100M Men,1904,gold,11,USA,Archie HAHN
100M Men,1904,silver,11.2,USA,Nate CARTMELL
100M Men,1904,bronze,11.2,USA,William HOGENSON
100M Men,2012,gold,9.63,JAM,Usain BOLT
100M Men,2012,silver,9.75,JAM,Yohan BLAKE
100M Men,2012,bronze,9.79,USA,Justin GATLIN
100M Men,2004,gold,9.85,USA,Justin GATLIN
100M Men,2004,silver,9.86,POR,Francis OBIKWELU
100M Men,2004,bronze,9.87,USA,Maurice GREENE
100M Men,1996,gold,9.84,CAN,Donovan BAILEY
100M Men,1996,silver,9.89,NAM,Frank FREDERICKS
100M Men,1996,bronze,9.9,TTO,Ato BOLDON
100M Men,1980,gold,10.25,GBR,Allan WELLS
100M Men,1980,silver,10.25,CUB,Silvio LEONARD SARRIA
100M Men,1980,bronze,10.39,BUL,Peter PETROV
100M Men,1972,gold,10.14,URS,Valery BORZOV
100M Men,1972,silver,10.24,USA,Robert TAYLOR
100M Men,1972,bronze,10.33,JAM,Lennox MILLER
100M Men,1964,gold,10,USA,Bob HAYES
100M Men,1964,silver,10.2,CUB,Enrique FIGUEROLA
100M Men,1964,bronze,10.2,CAN,Harry JEROME
100M Men,1956,gold,10.5,USA,Bobby MORROW
100M Men,1956,silver,10.5,USA,Thane BAKER
100M Men,1956,bronze,10.6,AUS,Hector HOGAN
100M Men,1948,gold,10.3,USA,Harrison DILLARD
100M Men,1948,silver,10.4,USA,Barney EWELL
100M Men,1948,bronze,10.6,PAN,Lloyd LABEACH
100M Men,1932,gold,10.3,USA,Eddie TOLAN
100M Men,1932,silver,10.3,USA,Ralph METCALFE
100M Men,1932,bronze,10.4,GER,Arthur JONATH
100M Men,1920,gold,10.8,USA,Charles PADDOCK
100M Men,1920,silver,10.8,USA,Morris KIRKSEY
100M Men,1920,bronze,10.9,GBR,Harry EDWARD
100M Men,1900,gold,11,USA,Frank JARVIS
100M Men,1900,silver,11.1,USA,Walter TEWKSBURY
100M Men,1900,bronze,11.2,AUS,Stanley ROWLEY
100M Women,2016,gold,10.71,JAM,Elaine THOMPSON
100M Women,2016,silver,10.83,USA,Tori BOWIE
100M Women,2016,bronze,10.86,JAM,Shelly-Ann FRASER-PRYCE
100M Women,2008,gold,10.78,JAM,Shelly-Ann FRASER-PRYCE
100M Women,2008,silver,10.98,JAM,Sherone SIMPSON
100M Women,2008,bronze,10.98,JAM,Kerron STEWART
100M Women,2000,gold,11.12,GRE,Ekaterini THANOU
100M Women,2000,silver,11.18,JAM,Tanya LAWRENCE
100M Women,2000,bronze,11.19,JAM,Merlene OTTEY
100M Women,1992,gold,10.82,USA,Gail DEVERS
100M Women,1992,silver,10.83,JAM,Juliet CUTHBERT
100M Women,1992,bronze,10.84,EUN,Irina PRIVALOVA
100M Women,1984,gold,10.97,USA,Evelyn ASHFORD
100M Women,1984,silver,11.13,USA,Alice BROWN
